run,process,baseline,improved,delta,gain_percent
0,N01,298.70167340798855,298.46978842535884,0.23188498262970825,0.07763096201773963
0,N02,298.70167340798855,298.39051049678153,0.31116291120702044,0.10417180046460986
0,N03,298.70167340798855,298.70167340798855,0.0,0.0
0,N04,298.70167340798855,298.70167340798855,0.0,0.0
0,N05,298.70167340798855,298.70167340798855,0.0,0.0
0,N06,298.70167340798855,271.18895964636675,27.512713761621796,9.210766530940363
0,N07,298.70167340798855,298.39299460051177,0.308678807476781,0.10334016678077493
0,N08,298.70167340798855,298.4480420465707,0.25363136141783116,0.0849112623053179
0,N09,298.70167340798855,298.35722493280906,0.3444484751794903,0.11531521442433214
0,N10,298.70167340798855,298.46081238867777,0.24086101931078474,0.08063597922392593
0,N11,298.70167340798855,298.29935995267897,0.4023134553095815,0.1346873791229393
0,N12,298.70167340798855,298.43720084134264,0.2644725666459067,0.08854070472001366
1,N01,286.99210253442806,286.5629606138403,0.42914192058776734,0.1495309162858538
1,N02,286.99210253442806,286.64329313002753,0.34880940440052655,0.12153972228510461
1,N03,286.99210253442806,286.99210253442806,0.0,0.0
1,N04,286.99210253442806,286.99210253442806,0.0,0.0
1,N05,286.99210253442806,286.99210253442806,0.0,0.0
1,N06,286.99210253442806,260.9584057452777,26.033696789150383,9.07122410660319
1,N07,286.99210253442806,286.7632935834308,0.22880895099723375,0.07972656702976189
1,N08,286.99210253442806,286.7709858195785,0.22111671484952922,0.07704627162101217
1,N09,286.99210253442806,286.7031743442276,0.28892819020046545,0.10067461356913301
1,N10,286.99210253442806,286.6710343008562,0.3210682335718502,0.11187354311721324
1,N11,286.99210253442806,286.7164766269301,0.2756259074979539,0.09603954431634207
1,N12,286.99210253442806,286.6790517250067,0.31305080942138375,0.10907993866619714
2,N01,298.0423816523546,297.7100298597234,0.3323517926311865,0.11151158797907186
2,N02,298.0423816523546,297.75184598217004,0.2905356701845676,0.0974813275124935
2,N03,298.0423816523546,298.0423816523546,0.0,0.0
2,N04,298.0423816523546,298.0423816523546,0.0,0.0
2,N05,298.0423816523546,298.0423816523546,0.0,0.0
2,N06,298.0423816523546,270.6161347519479,27.42624690040668,9.202129827427518
2,N07,298.0423816523546,297.74293591785005,0.2994457345045589,0.10047085681050597
2,N08,298.0423816523546,297.7805706887068,0.2618109636478039,0.08784353493497038
2,N09,298.0423816523546,297.74532364504836,0.2970580073062479,0.09966972001074165
2,N10,298.0423816523546,297.7572967618524,0.28508489050221897,0.09565246691483976
2,N11,298.0423816523546,297.7150587579573,0.3273228943972981,0.10982427820587515
2,N12,298.0423816523546,297.7580003406996,0.2843813116550109,0.09541640020402253
3,N01,290.45303285850787,290.1432249668706,0.30980789163726286,0.10666367935231152
3,N02,290.45303285850787,290.122502130368,0.33053072813987683,0.11379833940342862
3,N03,290.45303285850787,290.45303285850787,0.0,0.0
3,N04,290.45303285850787,290.45303285850787,0.0,0.0
3,N05,290.45303285850787,290.45303285850787,0.0,0.0
3,N06,290.45303285850787,264.29739127910204,26.155641579405824,9.00511911409352
3,N07,290.45303285850787,290.13084762199736,0.32218523651050646,0.11092507223619066
3,N08,290.45303285850787,290.11502954404153,0.33800331446633436,0.11637107422837284
3,N09,290.45303285850787,290.10902465945236,0.3440081990555086,0.11843849439957123
3,N10,290.45303285850787,290.187679315387,0.26535354312085246,0.09135850313193926
3,N11,290.45303285850787,290.1579410761702,0.2950917823376926,0.10159707386544815
3,N12,290.45303285850787,289.768351847331,0.6846810111768491,0.23572864928919043
4,N01,294.75710418886297,294.45852656400587,0.2985776248571028,0.10129615897766178
4,N02,294.75710418886297,294.491987074258,0.2651171146049478,0.08994426625764256
4,N03,294.75710418886297,294.75710418886297,0.0,0.0
4,N04,294.75710418886297,294.75710418886297,0.0,0.0
4,N05,294.75710418886297,294.75710418886297,0.0,0.0
4,N06,294.75710418886297,267.58004826872025,27.17705592014272,9.220152978137982
4,N07,294.75710418886297,294.4158784682804,0.34122572058254264,0.1157650539150043
4,N08,294.75710418886297,294.44820468180023,0.3088995070627334,0.10479798541676838
4,N09,294.75710418886297,294.48934295736944,0.26776123149352316,0.09084131567595995
4,N10,294.75710418886297,294.50459293762594,0.2525112512370242,0.08566757090788553
4,N11,294.75710418886297,294.4291047295673,0.3279994592956541,0.11127788088374331
4,N12,294.75710418886297,294.5205415992531,0.23656258960988907,0.0802567898272992
5,N01,299.3931487470456,299.10629492055034,0.28685382649524627,0.09581175377450148
5,N02,299.3931487470456,299.096101306123,0.29704744092259716,0.09921651252399556
5,N03,299.3931487470456,299.3931487470456,0.0,0.0
5,N04,299.3931487470456,299.3931487470456,0.0,0.0
5,N05,299.3931487470456,299.3931487470456,0.0,0.0
