process,name,queue_mean_mean,queue_mean_ci_low,queue_mean_ci_high,sync_mean_mean,sync_mean_ci_low,sync_mean_ci_high,utilization_mean,utilization_ci_low,utilization_ci_high,delta_mean,delta_ci_low,delta_ci_high,gain_percent_mean,gain_percent_ci_low,gain_percent_ci_high
N06,Process 06,0.4238935710317233,0.36871178388552145,0.4790753581779252,0.0,0.0,0.0,0.8356458907806612,0.8315596050062715,0.839732176555051,0.7067055520252506,0.5993180759231225,0.8140930281273788,0.21803747392157505,0.18499386489370945,0.25108108294944065
N01,Process 01,0.0,0.0,0.0,0.0,0.0,0.0,0.5543518091192557,0.5510968193118478,0.5576067989266636,0.33381121730056407,0.31981611235003476,0.34780632225109337,0.10306059849078618,0.09877089823972356,0.1073502987418488
N02,Process 02,0.0011198847273602651,0.00041509543497273793,0.0018246740197477925,0.0,0.0,0.0,0.5567326584049422,0.5537952311241662,0.5596700856857183,0.3152564085034896,0.3010657364325462,0.32944708057443306,0.09732866382364533,0.09298019162575966,0.101677136021531
N12,Process 12,0.04619352195831585,0.03891211774131526,0.05347492617531644,0.0,0.0,0.0,0.5568712149732807,0.55360473906265,0.5601376908839115,0.31473228516050883,0.28532067902517083,0.3441438912958468,0.09715425239287813,0.0881168258817483,0.10619167890400796
N11,Process 11,0.038025695127593996,0.03190444632781247,0.044146943927375525,0.0,0.0,0.0,0.5553563585222778,0.5523040868181276,0.5584086302264281,0.30725264983665285,0.29457979116113014,0.31992550851217555,0.09486682782070606,0.09097006371022485,0.09876359193118726
N09,Process 09,0.022883477737459752,0.01815029360717389,0.027616661867745616,1.9784471728606892,1.894727515133991,2.0621668305873873,0.5549056822277322,0.5518076561148954,0.558003708340569,0.3023085287123115,0.2903387421170118,0.3142783153076112,0.0933414721353001,0.08965773484638323,0.09702520942421697
N10,Process 10,0.033616300773812814,0.027739568370218095,0.03949303317740753,0.0,0.0,0.0,0.5546269555315186,0.5514178801381959,0.5578360309248414,0.29996395742127335,0.2873837878508691,0.3125441269916776,0.0926089086076773,0.0887612495397705,0.0964565676755841
N08,Process 08,0.018071601053702858,0.01317027886602182,0.022972923241383895,0.0,0.0,0.0,0.5563820709563793,0.5533883383412218,0.5593758035715367,0.2819632390765923,0.256648104496877,0.3072783736563076,0.08705555621281771,0.07923285135780506,0.09487826106783037
N07,Process 07,0.0036043253991636364,0.0018155572279175526,0.00539309357040972,0.0,0.0,0.0,0.5548592140158773,0.5510274668636611,0.5586909611680936,0.2808482191800965,0.2558845537516405,0.3058118846085525,0.08669429375941684,0.07900029823538579,0.09438828928344789
N04,Process 04,0.01696730323746348,0.013563250608159128,0.02037135586676783,0.0,0.0,0.0,0.5573375405417748,0.554232096596665,0.5604429844868846,0.01564602164956341,-0.004076062776108939,0.03536810607523576,0.0048407800617694605,-0.0012579667660551118,0.010939526889594032
N03,Process 03,0.008927036961515061,0.00613999486807363,0.011714079054956493,0.0,0.0,0.0,0.5558650327729473,0.5528792551641302,0.5588508103817644,0.01470984643434008,-0.003715136740354851,0.03313482960903501,0.004551323246309147,-0.0011464450540771788,0.010249091546695472
N05,Process 05,0.024066946612447418,0.020137707704172003,0.027996185520722833,0.0,0.0,0.0,0.5542785416492851,0.5507275577445376,0.5578295255540326,0.013508348751462335,-0.0033810976902681287,0.0303977951931928,0.0041798123226128,-0.0010432328136592475,0.009402857458884847
