process,name,queue_mean_mean,queue_mean_ci_low,queue_mean_ci_high,sync_mean_mean,sync_mean_ci_low,sync_mean_ci_high,utilization_mean,utilization_ci_low,utilization_ci_high,delta_mean,delta_ci_low,delta_ci_high,gain_percent_mean,gain_percent_ci_low,gain_percent_ci_high
N06,Process 06,38.54698281561246,37.69290006078584,39.40106557043908,0.0,0.0,0.0,0.8908052648861284,0.8896968136975497,0.8919137160747072,26.746278080735582,26.556492322487003,26.93606383898416,8.803698589862934,8.762872929445093,8.844524250280775
N12,Process 12,0.0727213061499635,0.06161178353383101,0.08383082876609599,0.0,0.0,0.0,0.5937821323699827,0.5893820444456718,0.5981822202942936,0.32475257607281266,0.29159839946373894,0.3579067526818864,0.10690040949381663,0.09601994615742275,0.1177808728302105
N01,Process 01,58.72764743547864,58.11005218544565,59.34524268551162,0.0,0.0,0.0,0.5910935648616366,0.5867470047097393,0.5954401250135338,0.323705689521139,0.2927370338584676,0.35467434518381036,0.10655803089782165,0.09638889486193712,0.11672716693370618
N02,Process 02,2.463506722145553,1.9724359576363453,2.9545774866547605,0.0,0.0,0.0,0.5936036537090694,0.5898582287454067,0.5973490786727321,0.3234403095506218,0.2952935023707898,0.35158711673045384,0.10656521638334229,0.09719648855280505,0.11593394421387954
N11,Process 11,0.06270920792492944,0.05516266643314395,0.07025574941671493,0.0,0.0,0.0,0.5921451349671121,0.5881963185923417,0.5960939513418825,0.3191708055145739,0.29935427196559783,0.33898733906354994,0.10500687694327566,0.09864377077511205,0.11136998311143928
N03,Process 03,1.523598377155087,1.2837777734124693,1.7634189808977045,0.0,0.0,0.0,0.5926912689048744,0.5887490885730821,0.5966334492366668,0.31376017175463516,0.29290298057373076,0.33461736293553956,0.10327878470145807,0.09638329539943397,0.11017427400348218
N04,Process 04,1.332310322396759,1.1074789777340386,1.5571416670594793,0.0,0.0,0.0,0.5942802373029354,0.5900286567755285,0.5985318178303424,0.31301937081359144,0.2984885913000254,0.32755015032715745,0.1030450140774214,0.09825591346194819,0.10783411469289463
N09,Process 09,0.04729816696156515,0.0401717714706281,0.0544245624525022,0.0,0.0,0.0,0.5916698756795459,0.5876236163741355,0.5957161349849562,0.3122014858260968,0.2937014132841834,0.3307015583680102,0.10279719475534405,0.09666326762424446,0.10893112188644363
N05,Process 05,1.000572522125054,0.7683584919646481,1.23278655228546,0.0,0.0,0.0,0.5910611118266579,0.5859866875130795,0.5961355361402363,0.31217325623870806,0.2990968824367682,0.32524963004064794,0.10277902103306094,0.09847633110346571,0.10708171096265617
N08,Process 08,0.028433336267733908,0.0222680168340333,0.034598655701434514,0.0,0.0,0.0,0.593247832901405,0.5892368676489307,0.5972587981538794,0.30843427711199295,0.2895754801149256,0.3272930741090603,0.10147267473516472,0.09540801600574153,0.10753733346458791
N10,Process 10,0.0576384826393529,0.049301084099279524,0.06597588117942628,0.0,0.0,0.0,0.5914011163942905,0.5869266437657088,0.5958755890228722,0.30811151603896403,0.2902374302668376,0.32598560181109043,0.10148337927395311,0.09549440985412269,0.10747234869378353
N07,Process 07,0.005457313271858086,0.0034987860325471696,0.007415840511169001,0.0,0.0,0.0,0.5916039299634667,0.5870458972950483,0.596161962631885,0.30664075934888047,0.29388980264664727,0.31939171605111366,0.10093346811841993,0.09676486088113279,0.10510207535570706
