run,job,process,server,release,first_component,ready,start,finish,service,queue_wait,sync_wait
0,0,N01,0,0.0,0.0,0.0,0.0,3.0000000000000004,3.0000000000000004,0.0,0.0
0,1,N01,0,1.0,1.0,1.0,3.0000000000000004,6.000000000000001,3.0000000000000004,2.0000000000000004,0.0
0,2,N01,0,2.0,2.0,2.0,6.000000000000001,9.000000000000002,3.0000000000000004,4.000000000000001,0.0
0,3,N01,0,3.0,3.0,3.0,9.000000000000002,12.000000000000002,3.0000000000000004,6.000000000000002,0.0
0,4,N01,0,4.0,4.0,4.0,12.000000000000002,15.000000000000002,3.0000000000000004,8.000000000000002,0.0
0,5,N01,0,5.0,5.0,5.0,15.000000000000002,18.000000000000004,3.0000000000000004,10.000000000000002,0.0
0,6,N01,0,6.0,6.0,6.0,18.000000000000004,21.000000000000004,3.0000000000000004,12.000000000000004,0.0
0,7,N01,0,7.0,7.0,7.0,21.000000000000004,24.000000000000004,3.0000000000000004,14.000000000000004,0.0
0,8,N01,0,8.0,8.0,8.0,24.000000000000004,27.000000000000004,3.0000000000000004,16.000000000000004,0.0
0,9,N01,0,9.0,9.0,9.0,27.000000000000004,30.000000000000004,3.0000000000000004,18.000000000000004,0.0
0,10,N01,0,10.0,10.0,10.0,30.000000000000004,33.00000000000001,3.0000000000000004,20.000000000000004,0.0
0,11,N01,0,11.0,11.0,11.0,33.00000000000001,36.00000000000001,3.0000000000000004,22.000000000000007,0.0
0,12,N01,0,12.0,12.0,12.0,36.00000000000001,39.00000000000001,3.0000000000000004,24.000000000000007,0.0
0,13,N01,0,13.0,13.0,13.0,39.00000000000001,42.00000000000001,3.0000000000000004,26.000000000000007,0.0
0,14,N01,0,14.0,14.0,14.0,42.00000000000001,45.00000000000001,3.0000000000000004,28.000000000000007,0.0
0,15,N01,0,15.0,15.0,15.0,45.00000000000001,48.00000000000001,3.0000000000000004,30.000000000000007,0.0
0,16,N01,0,16.0,16.0,16.0,48.00000000000001,51.00000000000001,3.0000000000000004,32.00000000000001,0.0
0,17,N01,0,17.0,17.0,17.0,51.00000000000001,54.00000000000001,3.0000000000000004,34.00000000000001,0.0
0,18,N01,0,18.0,18.0,18.0,54.00000000000001,57.00000000000001,3.0000000000000004,36.00000000000001,0.0
0,19,N01,0,19.0,19.0,19.0,57.00000000000001,60.00000000000001,3.0000000000000004,38.00000000000001,0.0
0,20,N01,0,20.0,20.0,20.0,60.00000000000001,63.00000000000001,3.0000000000000004,40.00000000000001,0.0
0,21,N01,0,21.0,21.0,21.0,63.00000000000001,66.00000000000001,3.0000000000000004,42.00000000000001,0.0
0,22,N01,0,22.0,22.0,22.0,66.00000000000001,69.00000000000001,3.0000000000000004,44.000000000000014,0.0
0,23,N01,0,23.0,23.0,23.0,69.00000000000001,72.00000000000001,3.0000000000000004,46.000000000000014,0.0
0,24,N01,0,24.0,24.0,24.0,72.00000000000001,75.00000000000001,3.0000000000000004,48.000000000000014,0.0
0,25,N01,0,25.0,25.0,25.0,75.00000000000001,78.00000000000001,3.0000000000000004,50.000000000000014,0.0
0,26,N01,0,26.0,26.0,26.0,78.00000000000001,81.00000000000001,3.0000000000000004,52.000000000000014,0.0
0,27,N01,0,27.0,27.0,27.0,81.00000000000001,84.00000000000001,3.0000000000000004,54.000000000000014,0.0
0,28,N01,0,28.0,28.0,28.0,84.00000000000001,87.00000000000001,3.0000000000000004,56.000000000000014,0.0
0,29,N01,0,29.0,29.0,29.0,87.00000000000001,90.00000000000001,3.0000000000000004,58.000000000000014,0.0
0,30,N01,0,30.0,30.0,30.0,90.00000000000001,93.00000000000001,3.0000000000000004,60.000000000000014,0.0
0,31,N01,0,31.0,31.0,31.0,93.00000000000001,96.00000000000001,3.0000000000000004,62.000000000000014,0.0
0,32,N01,0,32.0,32.0,32.0,96.00000000000001,99.00000000000001,3.0000000000000004,64.00000000000001,0.0
0,33,N01,0,33.0,33.0,33.0,99.00000000000001,102.00000000000001,3.0000000000000004,66.00000000000001,0.0
0,34,N01,0,34.0,34.0,34.0,102.00000000000001,105.00000000000001,3.0000000000000004,68.00000000000001,0.0
0,35,N01,0,35.0,35.0,35.0,105.00000000000001,108.00000000000001,3.0000000000000004,70.00000000000001,0.0
0,36,N01,0,36.0,36.0,36.0,108.00000000000001,111.00000000000001,3.0000000000000004,72.00000000000001,0.0
0,37,N01,0,37.0,37.0,37.0,111.00000000000001,114.00000000000001,3.0000000000000004,74.00000000000001,0.0
0,38,N01,0,38.0,38.0,38.0,114.00000000000001,117.00000000000001,3.0000000000000004,76.00000000000001,0.0
0,39,N01,0,39.0,39.0,39.0,117.00000000000001,120.00000000000001,3.0000000000000004,78.00000000000001,0.0
0,40,N01,0,40.0,40.0,40.0,120.00000000000001,123.00000000000001,3.0000000000000004,80.00000000000001,0.0
0,41,N01,0,41.0,41.0,41.0,123.00000000000001,126.00000000000001,3.0000000000000004,82.00000000000001,0.0
0,42,N01,0,42.0,42.0,42.0,126.00000000000001,129.00000000000003,3.0000000000000004,84.00000000000001,0.0
0,43,N01,0,43.0,43.0,43.0,129.00000000000003,132.00000000000003,3.0000000000000004,86.00000000000003,0.0
0,44,N01,0,44.0,44.0,44.0,132.00000000000003,135.00000000000003,3.0000000000000004,88.00000000000003,0.0
0,45,N01,0,45.0,45.0,45.0,135.00000000000003,138.00000000000003,3.0000000000000004,90.00000000000003,0.0
0,46,N01,0,46.0,46.0,46.0,138.00000000000003,141.00000000000003,3.0000000000000004,92.00000000000003,0.0
0,47,N01,0,47.0,47.0,47.0,141.00000000000003,144.00000000000003,3.0000000000000004,94.00000000000003,0.0
0,48,N01,0,48.0,48.0,48.0,144.00000000000003,147.00000000000003,3.0000000000000004,96.00000000000003,0.0
0,49,N01,0,49.0,49.0,49.0,147.00000000000003,150.00000000000003,3.0000000000000004,98.00000000000003,0.0
0,50,N01,0,50.0,50.0,50.0,150.00000000000003,153.00000000000003,3.0000000000000004,100.00000000000003,0.0
0,51,N01,0,51.0,51.0,51.0,153.00000000000003,156.00000000000003,3.0000000000000004,102.00000000000003,0.0
0,52,N01,0,52.0,52.0,52.0,156.00000000000003,159.00000000000003,3.0000000000000004,104.00000000000003,0.0
0,53,N01,0,53.0,53.0,53.0,159.00000000000003,162.00000000000003,3.0000000000000004,106.00000000000003,0.0
0,54,N01,0,54.0,54.0,54.0,162.00000000000003,165.00000000000003,3.0000000000000004,108.00000000000003,0.0
0,55,N01,0,55.0,55.0,55.0,165.00000000000003,168.00000000000003,3.0000000000000004,110.00000000000003,0.0
0,56,N01,0,56.0,56.0,56.0,168.00000000000003,171.00000000000003,3.0000000000000004,112.00000000000003,0.0
0,57,N01,0,57.0,57.0,57.0,171.00000000000003,174.00000000000003,3.0000000000000004,114.00000000000003,0.0
0,58,N01,0,58.0,58.0,58.0,174.00000000000003,177.00000000000003,3.0000000000000004,116.00000000000003,0.0
0,59,N01,0,59.0,59.0,59.0,177.00000000000003,180.00000000000003,3.0000000000000004,118.00000000000003,0.0
0,0,N02,0,0.0,3.0000000000000004,3.0000000000000004,3.0000000000000004,6.000000000000001,3.0000000000000004,0.0,0.0
0,1,N02,0,1.0,6.000000000000001,6.000000000000001,6.000000000000001,9.000000000000002,3.0000000000000004,0.0,0.0
0,2,N02,0,2.0,9.000000000000002,9.000000000000002,9.000000000000002,12.000000000000002,3.0000000000000004,0.0,0.0
