run,job,process,server,release,first_component,ready,start,finish,service,queue_wait,sync_wait
0,0,N01,0,0.0,0.0,0.0,0.0,2.318849826297098,2.318849826297098,0.0,0.0
0,1,N01,0,5.0,5.0,5.0,5.0,7.906558932246815,2.9065589322468153,0.0,0.0
0,2,N01,0,10.0,10.0,10.0,10.0,12.391247375353213,2.3912473753532124,0.0,0.0
0,3,N01,0,15.0,15.0,15.0,15.0,17.889200902132714,2.8892009021327145,0.0,0.0
0,4,N01,0,20.0,20.0,20.0,20.0,22.58515206925036,2.5851520692503582,0.0,0.0
0,5,N01,0,25.0,25.0,25.0,25.0,28.242785243008825,3.242785243008826,0.0,0.0
0,6,N01,0,30.0,30.0,30.0,30.0,32.88196124813761,2.8819612481376056,0.0,0.0
0,7,N01,0,35.0,35.0,35.0,35.0,38.11297856648833,3.1129785664883314,0.0,0.0
0,8,N01,0,40.0,40.0,40.0,40.0,42.768435180851824,2.7684351808518257,0.0,0.0
0,9,N01,0,45.0,45.0,45.0,45.0,47.44728023984419,2.447280239844192,0.0,0.0
0,10,N01,0,50.0,50.0,50.0,50.0,52.47908630666777,2.4790863066677704,0.0,0.0
0,11,N01,0,55.0,55.0,55.0,55.0,57.848864951150425,2.848864951150425,0.0,0.0
0,12,N01,0,60.0,60.0,60.0,60.0,63.056397737270686,3.056397737270688,0.0,0.0
0,13,N01,0,65.0,65.0,65.0,65.0,68.14648401504681,3.146484015046802,0.0,0.0
0,14,N01,0,70.0,70.0,70.0,70.0,73.29327990489146,3.2932799048914636,0.0,0.0
0,15,N01,0,75.0,75.0,75.0,75.0,77.30417781953457,2.304177819534578,0.0,0.0
0,16,N01,0,80.0,80.0,80.0,80.0,83.79206532261277,3.792065322612768,0.0,0.0
0,17,N01,0,85.0,85.0,85.0,85.0,87.88474356003111,2.884743560031113,0.0,0.0
0,18,N01,0,90.0,90.0,90.0,90.0,93.33541685918824,3.335416859188243,0.0,0.0
0,19,N01,0,95.0,95.0,95.0,95.0,98.59658620812785,3.5965862081278526,0.0,0.0
0,20,N01,0,100.0,100.0,100.0,100.0,103.1426091626757,3.142609162675696,0.0,0.0
