run,process,baseline,improved,delta,gain_percent
0,N01,344.7140763031317,344.2204323006045,0.4936440025272191,0.14320390040966086
0,N02,344.7140763031317,344.25047570809414,0.4636005950375761,0.13448844329463905
0,N03,344.7140763031317,344.38847406127724,0.32560224185448305,0.09445574295845051
0,N04,344.7140763031317,344.42506347265856,0.28901283047315474,0.083841319615566
0,N05,344.7140763031317,344.1429369450043,0.5711393581274251,0.1656849538181265
0,N06,344.7140763031317,340.4951021334464,4.218974169685339,1.2239053928204815
0,N07,344.7140763031317,343.4060009714466,1.3080753316851315,0.3794667585709054
0,N08,344.7140763031317,344.5686203699197,0.14545593321201977,0.042196110693231446
0,N09,344.7140763031317,344.3745783607592,0.3394979423725317,0.09848682305447455
0,N10,344.7140763031317,343.44334784859666,1.2707284545350603,0.3686325978222073
0,N11,344.7140763031317,343.8221654587618,0.8919108443699315,0.2587393163444856
0,N12,344.7140763031317,344.5276040059418,0.18647229718993685,0.05409477303327713
1,N01,341.5443489653106,341.1458394335805,0.39850953173009884,0.11667870744673747
1,N02,341.5443489653106,340.8799343751113,0.6644145901992715,0.1945324500938394
1,N03,341.5443489653106,339.0319548699153,2.5123940953952797,0.7355982035733972
1,N04,341.5443489653106,340.750745281859,0.793603683451579,0.2323574334799439
1,N05,341.5443489653106,340.76750978598716,0.7768391793234173,0.2274489921079965
1,N06,341.5443489653106,340.1391392109988,1.4052097543117839,0.4114281962412167
1,N07,341.5443489653106,341.338374158514,0.20597480679657565,0.060306899358916276
1,N08,341.5443489653106,341.27089117310163,0.2734577922089443,0.08006509053286032
1,N09,341.5443489653106,341.3696664081009,0.17468255720967818,0.051144912143582286
1,N10,341.5443489653106,340.89530713355134,0.6490418317592344,0.19003149480454593
1,N11,341.5443489653106,341.33181668070785,0.21253228460273021,0.0622268485034476
1,N12,341.5443489653106,341.2262716474825,0.31807731782805604,0.09312914085437321
2,N01,339.287963644862,338.58122068005014,0.7067429648118377,0.2083018086523095
2,N02,339.287963644862,338.4891952651865,0.7987683796754936,0.23542490900489974
2,N03,339.287963644862,338.69013060931934,0.5978330355426351,0.17620225283570518
2,N04,339.287963644862,338.7378081087341,0.5501555361278747,0.16215003038060352
2,N05,339.287963644862,338.7364166338518,0.5515470110102001,0.16256014657434562
2,N06,339.287963644862,338.44718612647523,0.8407775183867443,0.24780646780231771
2,N07,339.287963644862,338.65774099230475,0.6302226525572223,0.18574860298224025
2,N08,339.287963644862,339.03151472420643,0.2564489206555436,0.07558444393387698
2,N09,339.287963644862,339.17102447802375,0.11693916683822181,0.03446605225307193
2,N10,339.287963644862,339.02439492680935,0.2635687180526247,0.07768289662303088
2,N11,339.287963644862,338.88736225171175,0.40060139315022525,0.11807120678455336
2,N12,339.287963644862,338.5727725771843,0.7151910676776652,0.21079175930516264
3,N01,355.98558290338235,355.6434128040928,0.34217009928954667,0.09611908900884188
3,N02,355.98558290338235,355.63306384456064,0.35251905882171286,0.0990262178447237
3,N03,355.98558290338235,355.37366051706357,0.6119223863187813,0.1718952720860222
3,N04,355.98558290338235,355.38722386428634,0.5983590390960103,0.16808518879215686
3,N05,355.98558290338235,355.715655530989,0.2699273723933402,0.07582536635103025
3,N06,355.98558290338235,348.72817908436843,7.257403819013916,2.0386791397065203
