run,process,baseline,improved,delta,gain_percent
0,N01,332.5,332.2,0.30000000000001137,0.09022556390977786
0,N02,332.5,332.2,0.30000000000001137,0.09022556390977786
0,N03,332.5,332.2,0.30000000000001137,0.09022556390977786
0,N04,332.5,332.2,0.30000000000001137,0.09022556390977786
0,N05,332.5,332.2,0.30000000000001137,0.09022556390977786
0,N06,332.5,332.05,0.44999999999998863,0.13533834586465823
0,N07,332.5,332.2,0.30000000000001137,0.09022556390977786
0,N08,332.5,332.2,0.30000000000001137,0.09022556390977786
0,N09,332.5,332.2,0.30000000000001137,0.09022556390977786
0,N10,332.5,332.2,0.30000000000001137,0.09022556390977786
0,N11,332.5,332.2,0.30000000000001137,0.09022556390977786
0,N12,332.5,332.2,0.30000000000001137,0.09022556390977786
1,N01,332.5,332.2,0.30000000000001137,0.09022556390977786
1,N02,332.5,332.2,0.30000000000001137,0.09022556390977786
1,N03,332.5,332.2,0.30000000000001137,0.09022556390977786
1,N04,332.5,332.2,0.30000000000001137,0.09022556390977786
1,N05,332.5,332.2,0.30000000000001137,0.09022556390977786
1,N06,332.5,332.05,0.44999999999998863,0.13533834586465823
1,N07,332.5,332.2,0.30000000000001137,0.09022556390977786
1,N08,332.5,332.2,0.30000000000001137,0.09022556390977786
1,N09,332.5,332.2,0.30000000000001137,0.09022556390977786
1,N10,332.5,332.2,0.30000000000001137,0.09022556390977786
1,N11,332.5,332.2,0.30000000000001137,0.09022556390977786
1,N12,332.5,332.2,0.30000000000001137,0.09022556390977786
2,N01,332.5,332.2,0.30000000000001137,0.09022556390977786
2,N02,332.5,332.2,0.30000000000001137,0.09022556390977786
2,N03,332.5,332.2,0.30000000000001137,0.09022556390977786
2,N04,332.5,332.2,0.30000000000001137,0.09022556390977786
2,N05,332.5,332.2,0.30000000000001137,0.09022556390977786
2,N06,332.5,332.05,0.44999999999998863,0.13533834586465823
2,N07,332.5,332.2,0.30000000000001137,0.09022556390977786
2,N08,332.5,332.2,0.30000000000001137,0.09022556390977786
2,N09,332.5,332.2,0.30000000000001137,0.09022556390977786
2,N10,332.5,332.2,0.30000000000001137,0.09022556390977786
2,N11,332.5,332.2,0.30000000000001137,0.09022556390977786
2,N12,332.5,332.2,0.30000000000001137,0.09022556390977786
3,N01,332.5,332.2,0.30000000000001137,0.09022556390977786
3,N02,332.5,332.2,0.30000000000001137,0.09022556390977786
3,N03,332.5,332.2,0.30000000000001137,0.09022556390977786
3,N04,332.5,332.2,0.30000000000001137,0.09022556390977786
3,N05,332.5,332.2,0.30000000000001137,0.09022556390977786
3,N06,332.5,332.05,0.44999999999998863,0.13533834586465823
3,N07,332.5,332.2,0.30000000000001137,0.09022556390977786
3,N08,332.5,332.2,0.30000000000001137,0.09022556390977786
3,N09,332.5,332.2,0.30000000000001137,0.09022556390977786
3,N10,332.5,332.2,0.30000000000001137,0.09022556390977786
3,N11,332.5,332.2,0.30000000000001137,0.09022556390977786
3,N12,332.5,332.2,0.30000000000001137,0.09022556390977786
4,N01,332.5,332.2,0.30000000000001137,0.09022556390977786
4,N02,332.5,332.2,0.30000000000001137,0.09022556390977786
4,N03,332.5,332.2,0.30000000000001137,0.09022556390977786
4,N04,332.5,332.2,0.30000000000001137,0.09022556390977786
4,N05,332.5,332.2,0.30000000000001137,0.09022556390977786
4,N06,332.5,332.05,0.44999999999998863,0.13533834586465823
4,N07,332.5,332.2,0.30000000000001137,0.09022556390977786
4,N08,332.5,332.2,0.30000000000001137,0.09022556390977786
4,N09,332.5,332.2,0.30000000000001137,0.09022556390977786
4,N10,332.5,332.2,0.30000000000001137,0.09022556390977786
4,N11,332.5,332.2,0.30000000000001137,0.09022556390977786
4,N12,332.5,332.2,0.30000000000001137,0.09022556390977786
