process,name,queue_mean_mean,queue_mean_ci_low,queue_mean_ci_high,sync_mean_mean,sync_mean_ci_low,sync_mean_ci_high,utilization_mean,utilization_ci_low,utilization_ci_high,delta_mean,delta_ci_low,delta_ci_high,gain_percent_mean,gain_percent_ci_low,gain_percent_ci_high
N06,Process 06,0.0,0.0,0.0,0.0,0.0,0.0,0.8120300751879698,0.8120300751879698,0.8120300751879698,0.44999999999998863,0.44999999999998863,0.44999999999998863,0.13533834586465823,0.13533834586465823,0.13533834586465823
N01,Process 01,0.0,0.0,0.0,0.0,0.0,0.0,0.5413533834586466,0.5413533834586466,0.5413533834586466,0.30000000000001137,0.30000000000001137,0.30000000000001137,0.09022556390977785,0.09022556390977785,0.09022556390977785
N02,Process 02,0.0,0.0,0.0,0.0,0.0,0.0,0.5413533834586466,0.5413533834586466,0.5413533834586466,0.30000000000001137,0.30000000000001137,0.30000000000001137,0.09022556390977785,0.09022556390977785,0.09022556390977785
N03,Process 03,0.0,0.0,0.0,0.0,0.0,0.0,0.5413533834586466,0.5413533834586466,0.5413533834586466,0.30000000000001137,0.30000000000001137,0.30000000000001137,0.09022556390977785,0.09022556390977785,0.09022556390977785
N04,Process 04,0.0,0.0,0.0,0.0,0.0,0.0,0.5413533834586466,0.5413533834586466,0.5413533834586466,0.30000000000001137,0.30000000000001137,0.30000000000001137,0.09022556390977785,0.09022556390977785,0.09022556390977785
N05,Process 05,0.0,0.0,0.0,0.0,0.0,0.0,0.5413533834586466,0.5413533834586466,0.5413533834586466,0.30000000000001137,0.30000000000001137,0.30000000000001137,0.09022556390977785,0.09022556390977785,0.09022556390977785
N07,Process 07,0.0,0.0,0.0,0.0,0.0,0.0,0.5413533834586466,0.5413533834586466,0.5413533834586466,0.30000000000001137,0.30000000000001137,0.30000000000001137,0.09022556390977785,0.09022556390977785,0.09022556390977785
N08,Process 08,0.0,0.0,0.0,0.0,0.0,0.0,0.5413533834586466,0.5413533834586466,0.5413533834586466,0.30000000000001137,0.30000000000001137,0.30000000000001137,0.09022556390977785,0.09022556390977785,0.09022556390977785
N09,Process 09,0.0,0.0,0.0,0.0,0.0,0.0,0.5413533834586466,0.5413533834586466,0.5413533834586466,0.30000000000001137,0.30000000000001137,0.30000000000001137,0.09022556390977785,0.09022556390977785,0.09022556390977785
N10,Process 10,0.0,0.0,0.0,0.0,0.0,0.0,0.5413533834586466,0.5413533834586466,0.5413533834586466,0.30000000000001137,0.30000000000001137,0.30000000000001137,0.09022556390977785,0.09022556390977785,0.09022556390977785
N11,Process 11,0.0,0.0,0.0,0.0,0.0,0.0,0.5413533834586466,0.5413533834586466,0.5413533834586466,0.30000000000001137,0.30000000000001137,0.30000000000001137,0.09022556390977785,0.09022556390977785,0.09022556390977785
N12,Process 12,0.0,0.0,0.0,0.0,0.0,0.0,0.5413533834586466,0.5413533834586466,0.5413533834586466,0.30000000000001137,0.30000000000001137,0.30000000000001137,0.09022556390977785,0.09022556390977785,0.09022556390977785
