case,kind,interval,cv,makespan,makespan_ci_low,makespan_ci_high,N01_queue,N06_queue,N06_gain,N06_gain_ci_low,N06_gain_ci_high,improvement_top,queue_top
serial_interval1_cv0,serial,1.0,0.0,303.0,303.0,303.0,59.00000000000001,44.24999999999999,26.99999999999972,26.99999999999972,26.99999999999972,N06,N01
serial_interval1_cv0.15,serial,1.0,0.15,303.7926692595504,302.399005907985,305.1863326111158,58.72764743547864,38.54698281561246,26.746278080735582,26.556492322487003,26.93606383898416,N06,N01
serial_interval1_cv0.5,serial,1.0,0.5,314.6334736873144,309.9035749611619,319.3633724134669,57.85196694114566,28.14233185846897,20.95300335255378,19.633036802670865,22.272969902436692,N06,N01
serial_interval5_cv0,serial,5.0,0.0,332.5,332.5,332.5,0.0,0.0,0.44999999999998863,0.44999999999998863,0.44999999999998863,N06,N01|N02|N03|N04|N05|N06|N07|N08|N09|N10|N11|N12
serial_interval5_cv0.15,serial,5.0,0.15,333.2717949606568,332.9282031610031,333.61538676031046,0.0,0.6768176870831368,0.837537217102223,0.6973237188195913,0.9777507153848546,N06,N06
serial_interval5_cv0.5,serial,5.0,0.5,345.9635000493328,343.68616206754837,348.2408380311173,0.15974649066533866,5.092464102146998,3.9878717408084343,2.7854187209650485,5.19032476065182,N06,N06
fork_interval1_cv0,fork,1.0,0.0,294.0,294.0,294.0,59.00000000000001,44.24999999999999,26.99999999999972,26.99999999999972,26.99999999999972,N06,N01
fork_interval1_cv0.15,fork,1.0,0.15,294.56265163828084,293.20874719715766,295.916556079404,58.72764743547864,42.17479214270176,26.828815384971417,26.668028776667523,26.98960199327531,N06,N01
fork_interval1_cv0.5,fork,1.0,0.5,302.7402236010861,297.9519275853746,307.52851961679755,57.85196694114566,38.92068016407631,22.831610255451192,21.751095210953455,23.91212529994893,N06,N01
fork_interval5_cv0,fork,5.0,0.0,323.5,323.5,323.5,0.0,0.0,0.44999999999998863,0.44999999999998863,0.44999999999998863,N06,N01|N02|N03|N04|N05|N06|N07|N08|N09|N10|N11|N12
fork_interval5_cv0.15,fork,5.0,0.15,323.8499643987107,323.51815911317493,324.1817696842465,0.0,0.4238935710317233,0.7067055520252506,0.5993180759231225,0.8140930281273788,N06,N06
fork_interval5_cv0.5,fork,5.0,0.5,333.8603786496039,331.69551691487203,336.02524038433575,0.15974649066533866,4.409615899554484,3.69188235545314,2.5365389581028976,4.847225752803382,N06,N06
